epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8583,0.99764,1.21877,0.84271,0.10479,0.21812,0.06227,0.04162,1.18472,inf,0.90126,0.000410053,0.000410053,0.000410053
2,125.054,1.07673,0.97043,0.86673,0.35708,0.46847,0.35808,0.23556,1.16786,19.7276,0.86611,0.000810351,0.000810351,0.000810351
3,173.904,1.30591,1.0039,0.89423,0.00108,0.01612,0.00057,0.00037,1.46453,inf,0.92714,0.00119415,0.00119415,0.00119415
4,227.301,1.204,0.88043,0.8946,0.58573,0.47737,0.45117,0.2978,0.94385,0.8409,0.85954,0.00117575,0.00117575,0.00117575
5,278.686,1.26323,0.76108,0.87713,0.70998,0.65019,0.67258,0.41943,0.98835,0.64199,0.85302,0.001151,0.001151,0.001151
6,338.229,1.06063,0.67,0.85836,0.8267,0.63627,0.73151,0.46573,0.91845,0.66715,0.83247,0.00112625,0.00112625,0.00112625
7,415.942,1.01453,0.64736,0.84504,0.74485,0.73191,0.75763,0.49946,0.8775,0.59389,0.83064,0.0011015,0.0011015,0.0011015
8,484.212,0.98685,0.59485,0.84619,0.72824,0.67163,0.73097,0.47733,0.90367,0.54704,0.823,0.00107675,0.00107675,0.00107675
9,538.949,1.00785,0.54942,0.8415,0.87022,0.71144,0.8114,0.51967,0.90979,0.52357,0.82976,0.001052,0.001052,0.001052
10,633.165,1.06518,0.5748,0.8583,0.7699,0.74359,0.76951,0.49024,0.84224,0.52791,0.8252,0.00102725,0.00102725,0.00102725
11,694.254,0.98808,0.54526,0.84061,0.84381,0.7397,0.80256,0.5497,0.81012,0.50618,0.82493,0.0010025,0.0010025,0.0010025
12,775.78,0.9923,0.5509,0.83897,0.93717,0.72297,0.82422,0.52895,0.92156,0.53062,0.84228,0.00097775,0.00097775,0.00097775
13,868.576,0.98152,0.53643,0.84431,0.80518,0.75907,0.81051,0.5296,0.88788,0.54132,0.83389,0.000953,0.000953,0.000953
14,948.309,0.92261,0.52324,0.83056,0.85663,0.68481,0.79243,0.5338,0.79784,0.4919,0.82052,0.00092825,0.00092825,0.00092825
15,1017.89,0.87854,0.50805,0.8215,0.82325,0.70067,0.77111,0.52952,0.79113,0.50797,0.82105,0.0009035,0.0009035,0.0009035
16,1079.16,0.84601,0.49352,0.82113,0.90797,0.7149,0.80692,0.56255,0.74864,0.47251,0.81202,0.00087875,0.00087875,0.00087875
17,1152.98,0.85825,0.48768,0.81714,0.91382,0.71543,0.79047,0.54387,0.80937,0.5074,0.82015,0.000854,0.000854,0.000854
18,1214.49,0.86593,0.4924,0.81975,0.86832,0.73468,0.79642,0.54652,0.80904,0.48336,0.81918,0.00082925,0.00082925,0.00082925
19,1269.29,0.8549,0.49208,0.82091,0.87855,0.78605,0.83427,0.58434,0.74042,0.48873,0.81566,0.0008045,0.0008045,0.0008045
20,1335.98,0.83688,0.46949,0.81505,0.95271,0.71888,0.81825,0.57982,0.74711,0.46154,0.81033,0.00077975,0.00077975,0.00077975
21,1388.37,0.8267,0.45819,0.81763,0.94118,0.72422,0.82847,0.58413,0.71084,0.43518,0.80653,0.000755,0.000755,0.000755
22,1471.02,0.76774,0.43276,0.80976,0.90874,0.76781,0.848,0.61456,0.69443,0.42975,0.80537,0.00073025,0.00073025,0.00073025
23,1570.8,0.77431,0.43519,0.80583,0.86173,0.77207,0.82972,0.59233,0.70644,0.42403,0.81184,0.0007055,0.0007055,0.0007055
24,1630,0.79761,0.4328,0.80964,0.92553,0.76736,0.8375,0.61058,0.68837,0.41755,0.80406,0.00068075,0.00068075,0.00068075
25,1714.93,0.79004,0.43021,0.80924,0.86271,0.78089,0.83153,0.59465,0.70163,0.42651,0.80891,0.000656,0.000656,0.000656
26,1774.73,0.78765,0.43221,0.8111,0.92007,0.76869,0.83933,0.59414,0.76165,0.43869,0.81038,0.00063125,0.00063125,0.00063125
27,1835.15,0.79793,0.43634,0.81359,0.88835,0.74623,0.81722,0.60119,0.68337,0.42034,0.80545,0.0006065,0.0006065,0.0006065
28,1917.48,0.80036,0.42922,0.8057,0.93467,0.75748,0.82532,0.5988,0.72145,0.4251,0.80411,0.00058175,0.00058175,0.00058175
29,1998.11,0.81505,0.43661,0.80452,0.93935,0.7708,0.83202,0.59081,0.70958,0.42885,0.8073,0.000557,0.000557,0.000557
30,2058.64,0.74884,0.41558,0.80516,0.89164,0.77258,0.84295,0.614,0.65667,0.41367,0.80295,0.00053225,0.00053225,0.00053225
31,2127.33,0.74191,0.40331,0.80451,0.86088,0.79967,0.8338,0.60393,0.67219,0.40295,0.80401,0.0005075,0.0005075,0.0005075
32,2189.83,0.73294,0.39621,0.80391,0.83097,0.76157,0.82501,0.60139,0.65487,0.40997,0.80295,0.00048275,0.00048275,0.00048275
